 Customer Name ;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22
GU;;;;;;;;; 870.000 ; 490.000 ; 405.000 ; 675.000 ; 675.000 ; - ; 870.000 ; - ; - ; - ; 490.000 ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
GV;;;;;;; 850.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GW;;;;;;;; 355.000 ; 155.000 ; 510.000 ;; 510.000 ; 510.000 ; - ; 265.000 ; - ; - ; - ; 484.500 ; - ; - ; 817.000 ; 1.100.250 ; 645.000 ; 1.505.000 ; 1.750.000 ; 240.000 ; 1.178.000 ; 400.000 ; 698.250 ; - ; 485.000 ; - ; 693.500 ; 777.750 ; 1.110.000 ;;;;;;;
GX;;;;;;; 2.770.000 ; 3.980.000 ; 1.020.000 ; 3.945.000 ; 2.770.000 ; 1.350.000 ;;;;;;;;;;;;; 375.000 ; - ; 598.500 ; 365.000 ; 1.116.250 ; 831.250 ; - ; - ; - ; - ; - ; - ;;;;;;;
GY;;;;;;;; 1.825.000 ;; 475.000 ; 525.000 ; 790.000 ; - ; 885.000 ; 510.000 ; - ; - ; - ; - ; - ; 355.000 ; - ; 300.000 ; - ; - ; 200.000 ; 265.000 ; 330.000 ; 500.000 ; - ; - ; - ; - ; 190.000 ; - ; - ; 895.000 ; - ; 840.000 ; - ; - ; - ; - 
GZ;; 210.000 ;;;; 210.000 ;;;; 200.000 ;; 410.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H; 7.763.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HA;; 695.000 ;;;; 320.000 ; 230.000 ;; 230.000 ;; 620.000 ;; 430.000 ; 85.000 ; 180.000 ; - ; - ; 304.500 ; - ; - ; 180.000 ; - ; - ; - ; 405.000 ; 400.000 ; - ; 405.000 ; - ; 790.000 ; - ; 565.250 ; - ; 790.000 ; - ; - ;;;;;;;
HB;;;;;;;; 2.325.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HC;;;;;;;;;; 845.000 ; 2.643.500 ; 630.000 ; 6.358.400 ; - ; 1.381.000 ; 850.000 ; - ; - ; - ; 1.342.300 ; 954.250 ; 1.729.000 ; - ; 1.826.000 ; - ; 1.410.250 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
HD;;; 1.760.000 ; 1.000.000 ; 3.000.000 ; 175.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;;;;;;;;; 2.655.000 ; 1.000.000 ;; 2.360.000 ; - ; 2.770.000 ; - ; - ; - ; - ; - ; - ; 2.360.000 ; - ; 885.000 ; - ; 2.180.000 ; - ; 2.071.000 ; 885.000 ; - ; 840.750 ; - ; - ; - ; 590.000 ; - ; - ; - ; - ; 3.420.000 ; 2.008.420 ; 601.620 ; - ; 458.440 
HF;; 360.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HG; 1.010.000 ; 410.000 ; 600.000 ; 600.000 ; 820.000 ; 600.000 ; 820.000 ; 410.000 ; 620.000 ; 410.000 ; - ; 615.000 ; 600.000 ; 1.010.000 ; 600.000 ; - ; - ; - ; - ; 600.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 133.000 ; - ; 95.000 ; - ; 1.480.000 ; 2.565.000 ; - ; 2.631.100 ; 938.350 ; - 
HI;;;;;;;;;;; 350.000 ; 730.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HJ1;;;; 15.643.000 ; 11.152.000 ; 13.935.000 ; 10.620.000 ; 6.300.000 ; 6.300.000 ; 9.420.000 ; 17.445.000 ; 6.570.000 ; - ; 27.120.000 ; 9.281.500 ; - ; - ; 10.555.000 ; 17.817.500 ; 15.546.750 ; 23.541.000 ; 7.291.250 ; 24.125.250 ; 11.662.000 ; 9.500.000 ; 9.281.500 ; 8.322.000 ; 21.588.750 ; 10.944.000 ; 9.713.750 ; 5.956.500 ; 8.991.750 ; 9.357.500 ; 2.826.250 ; - ; - ;;;;;;;
HJ2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 3.860.000 ;;;;;;;;;
HJ3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 180.000 ; 6.599.000 ;;;;;
HK;; 2.165.000 ; 2.620.000 ;;;;;;;;;; - ; - ; - ; - ; - ; 418.000 ; - ; - ; - ; - ; - ; 395.000 ;;;;;;;;;;;;;;;;;;;
HL;;;;;;;;;;;; 2.645.000 ; 1.330.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
HM;;;;;;;;;;;;; 455.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.116.250 ;;;;;;;;;;;;
HO;;;;;;;;;;;;;;;;;;;;;;;; 600.000 ; 1.000.000 ; 600.000 ; 1.900.000 ; 950.000 ; 1.140.000 ; 1.140.000 ; - ; 760.000 ; 2.150.000 ; 2.090.000 ; 950.000 ; 2.200.000 ; 1.600.000 ; - ; 2.330.000 ; - ; - ; 599.400 ; - 
HP;;;;;;;;;;;;;;;;;;;;;;;;;;; 210.000 ;;;;;;;;;; 400.000 ; - ; - ; - ; - ; - ; - 
HQ;;;;;;;;;;;;;; 2.884.500 ; 1.260.000 ; 409.500 ; 756.000 ; 3.419.000 ; 3.015.000 ; 3.861.000 ; 6.505.500 ; 1.714.500 ; 2.421.000 ; 4.131.000 ; - ; 1.190.000 ; - ; 2.241.000 ; 5.130.000 ; - ; 1.323.000 ; 8.802.000 ; - ; 1.620.000 ; - ; 8.905.600 ; - ; 3.051.000 ; 21.838.500 ; 29.303.730 ; 5.665.410 ; 4.075.920 ; 10.678.230 
HR;;;;;;;;;;;;;;;;;;;;; 100.000 ;;;;;;;;;;;;;;;;;;;;;;
HS;;;;;;;;;;;;;;;;;; 955.000 ;;;;;;;;;;;;;;;;;;;;;;;;;
HT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 700.000 ; - ; 1.078.000 ; - ; 997.935 ; - ; - ; - 
HU;;;;;;;;;;;;;;;;;;;;;; 380.000 ; 350.000 ;; 180.000 ; 265.000 ; 180.000 ; 265.000 ; 350.000 ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
HV;;;;;;;;;;;;; 415.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 810.000 ; 2.636.250 ; 2.060.070 ;;
HX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-200.000 ;;;;;;;;;
HY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 100.000 ;;;
HZ;;;;;;;;;;;;;;;;;; 1.020.000 ; 650.000 ; 726.750 ; 1.292.000 ; 1.453.500 ; 100.000 ; 1.211.250 ;;;;;;;;;;;;;;;;;;;
I;;;;;;; 625.000 ;;; 510.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IA;;;;;;;;;;;;;; 520.000 ; 680.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IB;;;;;;;;;;;;;;;;;;;;;;;; 1.237.250 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 255.000 ; - ; - ;;;;;;;
IC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 2.634.350 ;;;;
ID;;;;;;;;;;;;;;;;;;;; 1.035.000 ; 835.000 ; 955.250 ; 1.919.000 ; 340.000 ; - ; - ; 1.292.000 ; - ; 255.000 ; 535.000 ; 950.000 ; - ; - ; 340.000 ; - ; 555.000 ;;;;;;;
IE;;;;;;;;;;;;;; 585.000 ;;;;;; 185.000 ;;;;;;;;;;;;;;;;;;;;;;;
IF;;;;;;;;;;;;;;;;;; 1.463.000 ;;;;; 710.000 ;; - ; 669.750 ; - ; 536.750 ; - ; - ; - ; - ; - ; 1.714.750 ; - ; 1.720.000 ; - ; - ; 629.000 ; - ; 4.026.525 ; 1.012.320 ; - 
IG;;;;;;;;;;;;;;;;;;;;;;;;;; 370.000 ;;;;;;;;;;;;;;;;;
IH;;;;;;;;;;;;;;;;;;;;;;;;; 2.725.000 ; 1.725.000 ; 1.467.750 ; 675.000 ;; 4.351.000 ; 807.500 ;;;;;;;;;;;;
II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 11.890.910 ;;;;;
IJ1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 25.592.728 ; 33.752.730 ; 17.061.406 ;; 18.378.481 ;
IJ2;;;;;;;;;;;;;;;;;;;;;;;;; 29.858.182 ; 42.654.548 ; 68.247.275 ; 10.237.091 ; 63.981.821 ; 104.077.092 ; 59.716.365 ; 29.858.183 ; 93.840.005 ; 80.814.549 ; 110.672.731 ; 102.218.185 ; - ; 110.901.820 ; 135.010.911 ; 9.312.684 ; 58.932.938 ; 7.657.700 ; 65.856.220 
IJ3;;;;;;;;;;; 9.500.000 ; 13.500.000 ; 87.995.000 ; - ; 48.450.000 ; 5.630.400 ; 9.384.000 ; 28.152.000 ; 66.626.400 ; - ; 32.844.000 ; 28.152.000 ; 46.920.000 ; 44.268.000 ; 18.768.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
IK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 11.891.892 
