 Customer Name ;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22
A;;;;;;;;;; 1.190.000 ;; 505.000 ; 210.000 ; 220.000 ; 105.000 ; - ; 308.750 ; 99.750 ; 841.500 ; 85.000 ;-85.000 ; 275.000 ; 220.000 ; 832.500 ; - ; 105.000 ; 382.500 ; 390.000 ; 955.000 ; 957.500 ; - ; 957.500 ; 1.942.500 ; 3.190.750 ; 452.500 ; 1.350.000 ; 1.255.500 ; 470.000 ; 1.000.000 ; 1.092.000 ; 954.300 ; 1.060.050 ; 593.850 
AA;;;;;;;;;;; 6.590.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AB;;;;;;;; 1.255.000 ; 2.070.000 ; 2.150.000 ; 1.020.000 ; 2.950.000 ; 1.335.000 ; 2.320.000 ; - ; - ; - ; - ; 595.000 ; - ; - ; - ; 1.771.750 ;-255.000 ; - ; 1.330.000 ; - ; 1.620.000 ; - ; 680.000 ; - ; - ; 850.000 ; 1.020.000 ; - ; 1.020.000 ; 425.000 ; - ; 400.000 ; - ; 566.100 ; - ; 566.100 
AC;;;;;; 1.735.000 ; 620.000 ;; 350.000 ; 425.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.020.000 ; - ; - ; - ; - ; - ; - 
AD;;;;;;;;;;; 430.000 ;; 585.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
AE;;;;;; 2.195.000 ; 490.000 ; 670.000 ;-390.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AF;;; 900.000 ; 170.000 ; 340.000 ; 170.000 ; 380.000 ;;; 180.000 ;; - ; - ; - ; 390.000 ; 190.000 ; 180.500 ; 465.500 ; - ; - ; 115.000 ; - ; - ; 390.000 ; - ; 105.000 ; - ; 305.000 ; 570.000 ; - ; - ; - ; - ; - ; 100.000 ; - ;;;;;;;
AG;;;;;; 1.355.000 ; 180.000 ;; 265.000 ;;;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 455.000 ; - ; - ; 155.000 ; 320.000 ; - ; - ; 130.000 ; - ; 250.000 ; - ; - ; - ;;;;;;;
AH; 2.615.000 ;; 2.615.000 ; 540.000 ; 1.135.000 ; 1.250.000 ; 1.020.000 ; 1.020.000 ; 1.020.000 ; 1.020.000 ; 1.190.000 ; 1.020.000 ; 850.000 ; 935.000 ; 180.000 ; - ; 413.250 ; 484.500 ; 745.250 ; 595.000 ; 484.500 ; 180.000 ; - ; 265.000 ;;;;;;;;;;;;;;;;;;;
AI;;;;;;; 7.000.000 ; 280.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AJ;;;;;;;;; 2.992.500 ;; 2.888.000 ; 2.907.000 ; - ; - ; - ; - ; - ; - ; - ; - ; 1.080.000 ; 510.000 ; 510.000 ; - ; 710.000 ; - ; - ; 1.900.000 ; 1.190.000 ; 1.050.000 ; - ; - ; - ; - ; - ; - ;;;;;;;
AK;;;;;;;;; 1.175.000 ; 1.530.000 ; 1.745.000 ; 790.000 ; 995.000 ; 380.000 ; 890.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;; - ; 195.000 ; - ; - ; - ; - ; - 
AL;;;;;;;;; 300.000 ; 155.000 ; 155.000 ; 155.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;;;; 800.000 ;; 790.000 ;;;; 600.000 ; 990.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AN;;;;;;;;;;; 1.450.000 ;; - ; - ; 4.125.000 ; - ; - ; - ; 5.917.500 ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
AO; 950.000 ; 200.000 ; 940.000 ; 550.000 ; 200.000 ; 930.000 ; 840.000 ; 400.000 ; 630.000 ; 400.000 ; 1.430.000 ; 400.000 ; 750.000 ; 400.000 ; 410.000 ; - ; - ; - ; 270.000 ; 590.000 ; 140.000 ; - ; 315.000 ; 340.000 ; 185.000 ; 900.000 ; 685.000 ; 385.000 ; 230.000 ; 680.000 ; - ; - ; 480.000 ; 280.000 ; 350.000 ; 365.000 ; - ; 210.000 ; 365.000 ; 350.000 ; 210.000 ; 140.000 ; 155.400 
AP; 2.290.000 ;; 750.000 ; 150.000 ;;;; 890.000 ; 835.000 ;; 1.030.000 ; 1.300.000 ; 1.235.000 ;-170.000 ; 1.235.000 ; - ; - ; 840.750 ; 926.250 ; 1.054.500 ; 1.616.000 ; 836.000 ; 1.017.500 ; 905.000 ; 780.000 ; - ; 741.000 ; 1.750.000 ; 793.250 ; 1.334.750 ; - ; - ; 703.000 ; 1.254.000 ; 807.500 ; - ; 1.360.000 ; - ; 926.250 ; - ; - ; 1.442.822 ; 1.270.673 
AQ; 1.765.000 ; 1.510.000 ; 4.340.000 ; 1.020.000 ; 2.960.000 ; 2.080.000 ; 3.495.000 ; 3.760.000 ; 3.935.000 ; 2.590.000 ;; 4.805.000 ; 1.680.000 ; 1.990.000 ; 1.505.000 ; - ; - ; 1.280.000 ; 1.781.250 ; 2.720.500 ; - ; 807.500 ; 2.720.000 ; 510.000 ; 1.165.000 ; 1.080.000 ; 1.163.750 ; 2.237.250 ; 973.750 ; 2.332.250 ; - ; 1.624.500 ; 1.154.250 ; 916.750 ; 1.182.750 ; 1.738.500 ; 1.163.750 ; 1.596.000 ; 646.000 ; 1.756.693 ; 1.455.590 ; 1.745.198 ; 1.091.408 
AR;;;;;;; 2.605.000 ; 240.000 ; 875.000 ; 485.000 ; 860.000 ; 1.080.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS;;;;;;;; 4.420.000 ; 2.995.000 ; 3.280.000 ; 4.200.000 ; 5.035.000 ; 4.060.000 ; 2.190.000 ; 2.375.000 ; 505.000 ; 760.000 ; 3.970.000 ; 1.740.000 ; - ; - ; - ; 1.055.000 ; 1.825.000 ; 2.655.000 ; - ; 1.140.000 ; 2.351.250 ; 1.520.000 ; 688.750 ; 285.000 ; 1.729.500 ; 1.806.500 ; 1.604.500 ; 1.466.750 ; 1.978.000 ; 1.186.500 ; 1.171.500 ; 1.283.000 ; - ; - ; - ; 338.550 
AT; 981.820 ;-177.273 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AU;;;;; 1.050.000 ;; 400.000 ;; 370.000 ; 410.000 ; 400.000 ;; - ; 400.000 ; - ; - ; - ; 770.000 ; - ; - ; 570.000 ; - ; 410.000 ; - ;;;;;;;;;;;;; - ; - ; - ; 210.000 ; - ; 167.620 ; - 
AW;; 140.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AX;;; 970.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AY;;;;;;;;; 1.560.000 ; 3.120.000 ; 1.560.000 ;; 1.560.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
AZ;;;;;;;;;; 1.170.000 ; 1.170.000 ; 1.755.000 ; 585.000 ; 585.000 ; 1.180.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
B; 400.000 ; 135.000 ; 95.000 ; 135.000 ; 440.000 ; 565.000 ; 315.000 ; 495.000 ; 410.000 ; 525.000 ; 390.000 ; 505.000 ; - ; 340.000 ; 390.000 ; - ; 256.500 ; 327.750 ; 615.000 ; - ; 305.000 ; 350.000 ; 530.000 ; 95.000 ; 350.000 ; 460.000 ; 265.000 ; 485.000 ; 435.000 ; 180.000 ; - ; 180.000 ; 265.000 ; 484.500 ; - ; - ; 350.000 ; - ; - ; 387.400 ; - ; 660.450 ; - 
BA;; 410.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BB;;;;;;;;; 680.000 ; 1.365.000 ; 1.300.000 ;; - ; 1.215.000 ; - ; - ; - ; - ; 508.250 ; - ; - ; 585.000 ; 535.000 ; 310.000 ;;;;;;;;;;;;;;;;;;;
BC;;;;;;;;; 420.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; - ; - ; - ; 387.400 ; - ; - ; - 
BD;;;;;;;;;;;; 1.415.000 ; 2.630.000 ; 1.380.000 ; 990.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
BE; - ; 200.000 ;;;;;;;;;;; 315.000 ; - ; - ; - ; - ; - ; - ; 700.000 ; 570.000 ; 498.750 ; 498.750 ; - ; - ; - ; - ; 2.505.750 ; 1.372.750 ; 1.330.000 ; 1.830.000 ; 1.885.750 ; 525.000 ; 3.268.250 ; 6.390.750 ; 6.575.000 ; 3.105.000 ; - ; 1.750.000 ; 6.948.600 ; 1.986.900 ; 7.437.000 ; 6.815.400 
BF;; 1.560.000 ;;;;;;; 770.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BG;;; 265.000 ; 265.000 ; 255.000 ;; 535.000 ;;;;;; 435.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 180.000 ; - ; - ; - ; - ; - ;;;;;;;
BH;;;;;;; 3.350.000 ; 420.000 ; 165.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI;;;;;;; 1.770.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ; 1.930.000 ;; 2.055.000 ; 1.940.000 ; 2.040.000 ; 585.000 ; 1.045.000 ; 2.685.000 ;; 4.170.000 ; 1.275.000 ; 1.410.000 ; 3.965.000 ; - ; 4.380.000 ; - ; - ; - ; 1.339.500 ; 2.695.000 ; 350.000 ; 2.892.750 ; 1.246.000 ; 2.818.000 ; - ; 2.394.000 ; - ; 1.309.000 ; - ; 1.268.250 ; - ; - ; - ; 798.000 ; 1.368.000 ; 3.570.000 ; 3.581.500 ; - ; 5.472.000 ; 1.829.890 ; 4.246.770 ; - ; - 
BK;; 5.870.000 ; 722.500 ; 1.590.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;; 510.000 ; 290.000 ; 2.325.000 ; 510.000 ;;; 535.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BM;;;;;;;;;;; 165.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BN;;;;;;;; 255.000 ; 965.000 ;; 1.500.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO; 2.900.000 ; 10.815.000 ; 4.845.000 ; 1.600.000 ; 5.533.500 ; 3.193.900 ; 17.149.900 ;; 2.170.000 ; 45.500.000 ; 24.456.000 ; 3.000.000 ; 5.710.000 ; - ; 2.000.000 ; 2.335.000 ; 11.062.500 ; 9.170.000 ; 1.625.000 ; 8.500.000 ; 3.600.000 ; 1.000.000 ; 34.440.000 ; 18.092.500 ; 27.755.000 ; 14.150.000 ; 10.500.000 ; 17.585.000 ; 8.525.000 ; 19.600.000 ; 3.375.000 ; 17.320.000 ; 10.750.000 ; 16.075.000 ; 16.480.000 ; 16.300.000 ; 33.329.000 ; - ; 36.510.000 ; 14.580.000 ; 25.774.485 ; 31.703.040 ; 23.220.000 
BP;;; 600.000 ;;;;; 185.000 ;; 800.000 ;;; - ; - ; 600.000 ; - ; - ; - ; - ; - ; - ; - ; - ; 600.000 ; - ; - ; 570.000 ; - ; - ; 570.000 ; - ; 355.000 ; 765.000 ; 570.000 ; - ; 285.000 ; 600.000 ; - ; - ; - ; - ; - ; - 
BQ;;;;;;;;;;; 2.968.200 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR;;;;;;; 2.280.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BS;;;;;;; 250.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT;; 465.000 ;;;; 160.000 ; 5.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BU;;;;;;;;;;;; 1.675.000 ; 3.975.000 ; 895.000 ; 360.000 ; - ; - ; 589.000 ; 698.250 ; 546.250 ; 375.000 ; 489.250 ; 375.000 ; 1.002.000 ; 725.000 ; 1.155.000 ; 707.750 ; 717.250 ; 1.125.750 ; 874.000 ; 760.000 ; 555.750 ; 617.500 ; 1.097.250 ; - ; 513.000 ; 1.258.750 ; - ; 555.750 ; 727.985 ; - ; 477.300 ; - 
BV;;;;;;;;;;;; 340.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;;;;;;;;;;;; 1.445.000 ; 180.000 ; - ; 495.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
BX;;;;;;;;;;; 835.000 ; 325.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;;;-45.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BZ;; 210.000 ;;; 100.000 ;-100.000 ; 375.000 ; 375.000 ;; 265.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;;;;; 180.000 ; 350.000 ; 445.000 ;; 180.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA;;; 600.000 ;;;; 410.000 ;;;;; 210.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CB;;;;;;;;; 265.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CC; 17.590.910 ;; 3.654.546 ; 4.200.000 ; 5.563.637 ;; 2.727.273 ; 2.727.273 ;;;; 200.000 ; 481.819 ; 840.910 ; 1.518.182 ; - ; - ; - ; - ; - ; - ; - ; 345.910 ; 2.452.728 ; 363.637 ; 395.455 ; 759.092 ; 2.245.456 ; 1.581.819 ; 1.172.728 ; - ; - ; 709.091 ; 1.945.456 ; 3.981.819 ; 2.550.000 ; 2.118.183 ; 2.109.091 ; 859.091 ; 2.500.001 ; 2.725.766 ; 3.240.766 ; 2.797.137 
CD;;;; 4.150.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CE;;;;;;;;;;; 625.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CF;;;;;;; 5.145.001 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CG;;; 820.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH; 370.000 ;; 210.000 ;;; 305.000 ;;;;; 95.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;;;;;;;;; 600.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CJ;;;;;;;; 2.000.000 ; 1.800.000 ;; 2.000.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CK; 4.350.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CL;;;;;;;; 990.000 ; 210.000 ; 355.000 ; 205.000 ; 295.000 ; 235.000 ; - ; - ; - ; - ; - ; 260.000 ; - ; 285.000 ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
CM;;;;;;;; 345.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CN;;;;; 280.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO;;;;;; 3.534.000 ;;; 425.000 ; 935.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP;;;;;;;;; 990.000 ;;; 1.200.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;-200.000 ; - ; - ;;;;;;;;;;;;;;;;;;;
CQ1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.150.000 ;;;;;;;
CQ2;;;;;; 1.030.000 ; 356.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CQ3;;;;;;; 1.644.000 ;;;;;; - ; - ; - ; - ; - ; - ; - ; - ; - ; 996.999 ; 673.200 ; - ; - ; - ; - ; - ; - ; - ; - ; 156.000 ; - ; - ; - ; - ; 3.210.000 ; 134.000 ; 1.685.000 ; 330.000 ; - ; 499.500 ; 485.070 
CR;;;;;;;;;; 470.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CS;;;;;;;; 625.000 ;;; 350.000 ; 680.000 ; - ; - ; - ; - ; - ; - ; - ; 180.000 ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
CT; 2.043.000 ; 1.895.000 ; 5.378.000 ; 3.050.000 ; 3.001.000 ; 3.823.000 ; 2.930.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CU;;;;;;;;;;;; 1.595.000 ; - ; 1.500.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
CV;;;;; 95.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CW;;; 385.000 ;-385.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CX;;;;;;; 165.000 ; 680.000 ;; 660.000 ; 660.000 ;;;;;;;;;;;;;; 340.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
CY;;;; 4.520.000 ;; 3.640.000 ; 2.400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CZ;;;;;;;;;;;; 80.000 ; 150.000 ; 350.000 ; 230.000 ; - ; - ; 538.000 ; 150.000 ; 205.000 ; - ; - ; 465.000 ; 555.000 ; 495.000 ; 405.000 ; 150.000 ; 205.000 ; 275.000 ; 280.000 ; - ; - ; - ; - ; - ; - ;;;;;;;
D; 4.030.000 ; 760.000 ; 5.150.000 ; 6.725.000 ; 7.505.000 ; 5.120.000 ; 6.855.000 ; 2.370.000 ; 3.800.000 ; 2.915.000 ;; 1.765.000 ; 1.630.000 ; 2.685.000 ; 960.000 ; - ; - ;-960.000 ; 932.750 ; 1.425.000 ; 870.000 ; - ; 2.047.250 ; 1.470.000 ; 1.335.000 ; - ; 1.300.000 ; 1.860.000 ; - ; 2.156.500 ; - ; 1.149.500 ; 2.558.750 ; - ; - ; - ;;;;;;;
DA; 110.000 ; 180.000 ;; 110.000 ; 180.000 ; 365.000 ;; 95.000 ; 95.000 ; 345.000 ; 360.000 ; 180.000 ; 245.000 ; 380.000 ; 290.000 ; - ; 85.500 ; 437.500 ; - ; 320.000 ; - ; - ; - ; 315.000 ; - ; 180.000 ; - ; - ; 180.000 ; - ; - ; 180.000 ; - ; 180.000 ; - ; - ; 460.000 ; - ; - ; - ; - ; - ; 503.950 
DB;; 210.000 ;; 295.000 ;;; 410.000 ;;;;;; - ; - ; 210.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 295.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1.085.000 ; 640.000 ; 435.000 ; - ; 817.000 ; 1.783.340 ; 566.100 ; 1.666.388 ; 865.800 
DC;;; 150.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DD;;;;;;;;;;;; 3.810.000 ; 1.445.000 ; 850.000 ; 710.000 ; - ; - ; 608.000 ; 970.000 ; 385.000 ; 255.000 ; - ; - ; 170.000 ; 170.000 ; - ; - ; - ; 255.000 ; - ; - ; - ; 255.000 ; 170.000 ; - ; 340.000 ; 170.000 ; 620.000 ; - ; 310.000 ; - ; - ; 555.000 
DE; 420.000 ; 515.000 ; 420.000 ; 485.000 ; 410.000 ;; 895.000 ; 410.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DF;; 360.000 ;;;;;;;;;; 1.485.000 ; 2.000.000 ; 255.000 ; - ; - ; - ; 161.500 ; 750.000 ; 265.000 ; 340.000 ; 290.000 ; - ; 255.000 ;-255.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
DG;;;;;;;;;;; 1.585.000 ;; 255.000 ; 1.210.000 ; 1.875.000 ; - ; - ; - ; - ; - ; - ; 430.000 ; - ; - ;;;;;;;;;;;;;;;;;;;
DI;;;;;;;;; 6.930.000 ; 8.070.000 ; 7.980.000 ; 4.935.000 ; 4.650.000 ; 4.510.000 ; 4.110.000 ; - ; - ; 536.750 ; 2.137.500 ; 1.765.000 ; - ; - ; 2.137.500 ; 2.218.250 ; - ; 3.540.000 ; - ; 2.137.500 ; 3.899.750 ; - ; - ; - ; - ; 2.160.000 ; - ; - ; 3.900.000 ; - ; 3.645.000 ; - ; 2.154.800 ; - ; - 
DJ;;;;;;;; 2.110.000 ; 1.020.000 ; 2.935.000 ; 1.020.000 ; 1.360.000 ; - ; 2.960.000 ; - ; - ; - ; - ; - ; - ; 551.000 ; - ; - ; 1.406.000 ; - ; - ; - ; - ; - ; 1.366.500 ; - ; - ; 1.080.000 ; 510.000 ; - ; 485.000 ;;;;;;;
DK;;;;;;;;;;; 510.000 ;; - ; - ; - ; - ; - ; - ; 510.000 ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
DL;;;;;;;;; 410.000 ; 600.000 ; 600.000 ; 600.000 ; 600.000 ; 1.010.000 ; - ; 600.000 ; 410.000 ; - ; 1.400.000 ; 800.000 ; 800.000 ; - ; 1.400.000 ; 1.400.000 ; - ; - ; 1.360.000 ; - ; 1.026.000 ; 570.000 ; - ; - ; 570.000 ; 950.000 ; - ; 800.000 ; 370.000 ; - ; - ; 731.500 ; - ; - ; 899.100 
DM; 410.000 ;;;; 400.000 ;;;;; 1.000.000 ; 1.000.000 ;; - ; - ; - ; - ; - ; - ; - ; - ; - ; 410.000 ; - ; 1.140.000 ; - ; - ; - ; 410.000 ; 760.000 ; - ; - ; 760.000 ; - ; - ; - ; 800.000 ; - ; - ; - ; 570.000 ; - ; 919.100 ; 419.590 
DN;;;;;;;; 610.000 ; 610.000 ; 550.000 ; 500.000 ; 610.000 ; 610.000 ; 610.000 ; - ; - ; - ; - ; 610.000 ; 2.140.250 ; 550.000 ; 170.000 ; - ; 610.000 ; - ; 845.000 ; - ; 995.000 ; - ; - ; - ; - ; 494.000 ; 265.000 ; - ; 360.000 ; 180.000 ; 520.000 ; - ; - ; - ; - ; 543.900 
DO;;;;;;;; 170.000 ;;;;; - ; 255.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
DP;;;;;;;;; 510.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DQ;;-2.100.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR; 570.000 ; 580.000 ; 540.000 ; 540.000 ; 540.000 ; 540.000 ; 900.000 ; 540.000 ; 540.000 ; 540.000 ;; 540.000 ; 540.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
DS;;; 1.135.000 ; 700.000 ; 870.000 ; 1.145.000 ; 860.000 ; 1.260.000 ; 860.001 ;;; - ; - ; - ; 480.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
DT;;;;;;;;; 390.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DU;;; 1.125.000 ; 2.250.000 ;; 2.250.000 ; 2.250.000 ;; 2.250.000 ; 2.250.000 ; 2.250.000 ; 3.375.000 ; - ; - ; 2.250.000 ; - ; 1.068.750 ; 2.250.000 ; - ; 1.125.000 ; - ; 1.125.000 ; - ; 1.068.750 ; - ; 2.250.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
DV;;;;;;;;; 265.000 ;; 265.000 ;; - ; - ; - ; - ; - ; - ; 95.000 ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
DW;;;;;;;; 505.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DX;;; 205.000 ; 340.000 ; 345.000 ; 150.000 ;; 495.000 ;;; 415.000 ; 205.000 ; 605.000 ; 565.000 ; 780.000 ; - ; 251.750 ; 251.750 ; 665.500 ; 345.000 ; - ; 670.000 ; - ; 545.000 ; - ; - ; 498.750 ; - ; 400.000 ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
DY;;;;;;;;; 290.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DZ;;;;;; 600.000 ;;;;;;; - ; - ; - ; - ; - ; 1.938.000 ; - ; - ; - ; - ; - ; - ; 1.442.500 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
E;;;;;;;;;;; 410.000 ;; - ; 595.000 ; - ; - ; 570.000 ; - ; - ; - ; - ; - ; - ; 410.000 ; - ; - ; 410.000 ; - ; 410.000 ; - ; - ; - ; 410.000 ; - ; - ; - ; 655.000 ; - ; - ; 570.000 ; - ; - ; - 
EA; 885.000 ; 1.010.000 ; 600.000 ; 800.000 ; 1.600.000 ;; 1.400.000 ; 1.000.000 ;;; 800.000 ;; - ; 800.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1.210.000 ; - ; - ; - ; - ; 570.000 ; - ; 380.000 ; 380.000 ; - ; 731.500 ; - ; 800.000 ; - ; 740.000 ; 484.500 ; 293.050 ; - ; - ; - 
EB;;;;;;;;; 575.000 ;; 410.000 ;; 365.000 ; 210.000 ; 210.000 ; - ; - ; 210.000 ; 210.000 ; 935.000 ; - ; 550.000 ; - ; 380.000 ; 410.000 ; 410.000 ; 484.500 ; 410.000 ; 740.000 ; - ; - ; 541.500 ; 560.000 ; 760.000 ; 380.000 ; 550.000 ; 380.000 ; - ; 731.500 ; 828.163 ; - ; 826.950 ; - 
EC; 350.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ED;;;;;;;;; 1.745.000 ; 935.000 ; 2.080.000 ; 2.775.000 ; 720.000 ; 2.025.000 ; 935.000 ; - ; 1.306.250 ; 845.500 ; 1.819.250 ; 1.330.000 ; 1.565.000 ; - ; 550.000 ; 1.686.250 ; 1.335.000 ; 825.000 ; 1.239.750 ; 959.500 ; 1.935.500 ; 593.750 ; - ; 484.500 ; 1.261.000 ; - ; 1.035.500 ; - ; 265.000 ; - ; - ; - ; 299.700 ; - ; - 
EF; 820.000 ; 1.520.000 ; 2.350.000 ; 1.120.000 ; 820.000 ; 1.480.000 ;; 1.600.000 ; 4.306.800 ; 1.815.000 ; 2.250.000 ; 4.355.000 ; 2.015.000 ; 1.980.000 ; 3.220.000 ; - ; - ; - ; 1.358.500 ; 1.960.000 ; - ; - ; 2.170.750 ; - ; 2.372.500 ; - ; 916.750 ; - ; 1.539.000 ; - ; - ; 410.000 ; - ; - ; 484.500 ; - ; 772.000 ; - ; - ; - ; - ; - ; - 
