ds;country;polygon_source;polygon_id;polygon_name;changeofmovement;stayput;baseline_name;baseline_type;;provinsi
Apr-20;IDN;GADM;IDN.10.17_1;Kota Semarang;-0.308750667;0.235784333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.4.2_1;Kota Serang;-0.281431667;0.247319333;full_february;DAY_OF_WEEK;;Banten
Apr-20;IDN;GADM;IDN.9.18_1;Kota Sukabumi;-0.298690667;0.270582667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.4.3_1;Kota Tangerang;-0.390431333;0.290578667;full_february;DAY_OF_WEEK;;Banten
Apr-20;IDN;GADM;IDN.9.19_1;Kota Tasikmalaya;-0.288672;0.267558333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.10.18_1;Kota Tegal;-0.277287333;0.232852;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.33.3_1;Kota Yogyakarta;-0.420021;0.278043;full_february;DAY_OF_WEEK;;Yogyakarta
Apr-20;IDN;GADM;IDN.10.19_1;Kudus;-0.240046333;0.190274;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.33.4_1;Kulon Progo;-0.275062333;0.210525333;full_february;DAY_OF_WEEK;;Yogyakarta
Apr-20;IDN;GADM;IDN.9.20_1;Kuningan;-0.339478;0.276560667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.18_1;Lamongan;-0.255029;0.248099;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.4.4_1;Lebak;-0.263571333;0.265160667;full_february;DAY_OF_WEEK;;Banten
Apr-20;IDN;GADM;IDN.11.19_1;Lumajang;-0.248121667;0.251798333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.20_1;Madiun;-0.276925333;0.250190667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.20_1;Magelang;-0.312973;0.250072;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.21_1;Magetan;-0.293984;0.253774333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.9.21_1;Majalengka;-0.219443333;0.250925333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.22_1;Malang;-0.293531333;0.260951;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.23_1;Mojokerto;-0.236185667;0.213793;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.24_1;Nganjuk;-0.248375333;0.260786667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.25_1;Ngawi;-0.285418;0.251432333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.26_1;Pacitan;-0.306437667;0.256486333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.27_1;Pamekasan;-0.215529;0.199897667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.4.5_1;Pandeglang;-0.271389333;0.285573;full_february;DAY_OF_WEEK;;Banten
Apr-20;IDN;GADM;IDN.11.28_1;Pasuruan;-0.224800333;0.234233;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.21_1;Pati;-0.235615;0.232621667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.10.22_1;Pekalongan;-0.227970667;0.242157667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.10.23_1;Pemalang;-0.220563667;0.272065667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.29_1;Ponorogo;-0.285636667;0.271718;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.30_1;Probolinggo;-0.277346333;0.254600333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.24_1;Purbalingga;-0.317606667;0.265205667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.9.22_1;Purwakarta;-0.270883;0.241364667;full_february;DAY_OF_WEEK;;Jawa Barat
